Name,Type,Description,SP
Fatal Smoke 4,C,"Foe cannot recover HP during or after combat. Neutralizes foe's non-Special ""if foe would reduce unit's HP to 0, unit survives with 1 HP"" effects during combat. After combat, inflicts 【Deep Wounds】and a penalty that neutralizes non-Special ""if foe would reduce unit's HP to 0, unit survives with 1 HP"" effects on target and foes within 2 spaces of target through their next actions.【Deep Wounds】Unit's HP cannot be healed through its next action.",300
Flier Guidance 1,C,"If unit's HP = 100%, flying allies within 2 spaces can move to a space adjacent to unit.",60
Flier Guidance 2,C,"If unit's HP ≥ 50%, flying allies within 2 spaces can move to a space adjacent to unit.",120
Flier Guidance 3,C,Flying allies within 2 spaces can move to a space adjacent to unit.,240
Laguz Friend 1,B,"If unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, or if foe's attack can trigger unit's Special, reduces the percentage of unit's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), reduces damage from foe's attacks by 5% of the greater of unit's Def or Res (excluding area-of-effect Specials), and grants Special cooldown count-2 to unit before foe's first attack during combat. During combat, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when Special triggers, deals damage = 5% of the greater of unit's Def or Res (excluding area-of-effect Specials). During combat, if foe's attack can trigger unit's Special, when Special triggers, unit's next attack deals damage = 5% of the greater of unit's Def or Res (boost resets at end of combat).",60
Laguz Friend 2,B,"If unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, or if foe's attack can trigger unit's Special, reduces the percentage of unit's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), reduces damage from foe's attacks by 10% of the greater of unit's Def or Res (excluding area-of-effect Specials), and grants Special cooldown count-2 to unit before foe's first attack during combat. During combat, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when Special triggers, deals damage = 10% of the greater of unit's Def or Res (excluding area-of-effect Specials). During combat, if foe's attack can trigger unit's Special, when Special triggers, unit's next attack deals damage = 10% of the greater of unit's Def or Res (boost resets at end of combat).",120
Laguz Friend 3,B,"If unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, or if foe's attack can trigger unit's Special, reduces the percentage of unit's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), reduces damage from foe's attacks by 15% of the greater of unit's Def or Res (excluding area-of-effect Specials), and grants Special cooldown count-2 to unit before foe's first attack during combat. During combat, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when Special triggers, deals damage = 15% of the greater of unit's Def or Res (excluding area-of-effect Specials). During combat, if foe's attack can trigger unit's Special, when Special triggers, unit's next attack deals damage = 15% of the greater of unit's Def or Res (boost resets at end of combat).",240
Laguz Friend 4,B,"Inflicts Atk-5 on foe during combat. If unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, or if foe's attack can trigger unit's Special, reduces the percentage of unit's non-Special ""reduce damage by X%"" skills by 50% (excluding area-of-effect Specials), reduces damage from foe's attacks by 20% of the greater of unit's Def or Res (excluding area-of-effect Specials), and grants Special cooldown count-2 to unit before foe's first attack during combat. During combat, if unit's max Special cooldown count value ≥ 3 and unit's attack can trigger unit's Special, when Special triggers, deals damage = 20% of the greater of unit's Def or Res (excluding area-of-effect Specials) and neutralizes ""reduces damage by X%"" effects from foe's non-Special skills (excluding area-of-effect Specials). During combat, if foe's attack can trigger unit's Special, when Special triggers, unit's next attack deals damage = 20% of the greater of unit's Def or Res and neutralizes ""reduces damage by X%"" effects from foe's non-Special skills (resets at end of combat).",300
Even Atk Wave N,C,"At start of turn, grants Atk+6 to unit and allies within 2 spaces of unit for 1 turn.If unit's Atk ≥ foe's Atk-5, unit deals +5 damage during combat (excluding area-of-effect Specials), and also, when unit deals damage to foe during combat, restores 5 HP to unit (triggers even if 0 damage is dealt).If it is an even-numbered turn, grants Atk+6 to unit during combat.",300
Gift of Guidance,A,"Grants Atk/Def/Res+10.At start of turn, if unit's HP ≥ 25%, grants Special cooldown count-2 to unit and grants Special cooldown count-1 to allies within 2 of spaces of unit, and also, if those allies are magic or staff allies, grants an additional Special cooldown count-1 to those allies.At start of combat, if unit's HP ≥ 25%, neutralizes penalties on unit, inflicts Special cooldown charge -1 on foe per attack (only highest value applied; does not stack), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).",300
Atk/Res Havoc,B,"At start of player phase or enemy phase, inflicts Atk/Res-7,【Sabotage】, and【Schism】 on foes with Res < unit's Res and that are within 2 spaces of another foe through their next actions.After start-of-turn skills trigger on unit's player phase, if the number of foes with the 【Sabotage】effect active on the map ≥ 2, grants 【Canto (１)】to unit for 1 turn.Inflicts Atk/Res-4 on foe and deals damage = 20% of unit's Res during combat (excluding area-of-effect Specials).【Sabotage】Inflicts penalty on unit's Atk/Spd/Def/Res during combat = highest penalty on each stat between unit and allies within 2 spaces of unit through its next action. Calculates each stat penalty independently.【Schism】Neutralizes Triangle Attack, Dual Strike, and Pathfinder effects active on unit through unit's next action. Unit is excluded from ally Triangle Attack and Dual Strike effects calculated using numbers of allies. When this status (Schism) is neutralized, Triangle Attack, Dual Strike, and Pathfinder effects are also neutralized.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Once per turn. Only highest value applied. Does not stack.)",300
Gift of Magic,A,"If unit initiates combat or foe's Range = 2, inflicts Atk/Res-10 on foe during combat, unit makes a guaranteed follow-up attack, and also, if unit receives consecutive attacks, reduces damage from foe's second attack onward by 80%. If foe with Range = 2 initiates combat and foe can make a follow-up attack, foe makes a follow-up attack before unit can counterattack.",300
Solid Ground 4,A,Grants Atk/Def+7. Inflicts Res-5.,300
Bern's New Way,C,"Restores 7 HP to allies within 3 spaces of unit after combat. If unit is within 3 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit during combat, grants Special cooldown charge +1 to unit per attack (only highest value applied; does not stack), and restores 7 HP to unit after combat.",300
S/R Far Trace 4,B,"Enables【Canto (Rem.; Min １)】.Inflicts Spd/Res-4 on foe during combat and unit deals +7 damage including when dealing damage with a Special triggered before combat.【Canto (Rem.; Min １)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn (min. １; if unit used a movement skill that warped them, unit can move １ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Gold Unwinding,B,"Inflicts Spd/Res-5 on foe during combat. At start of combat, if unit's HP ≥ 50% and unit initiates combat, reduces damage from foe's first attack by 60% during combat. If unit initiates combat, grants another action to unit after combat, and inflicts【Gravity】on unit and Pair Up cohort through their next action (will not trigger again for 2 turns after triggering).【Gravity】Restricts target's movement to 1 space through its next action.",300
AR-O Spd/Res 1,A,"If attacking in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +4; 3 grants +3; 4 grants +2; ≥5 grants +1. Destroyed defensive structures are not counted.)",60
AR-O Spd/Res 2,A,"If attacking in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +7; 3 grants +5; 4 grants +3; ≥5 grants +1. Destroyed defensive structures are not counted.)",120
AR-O Spd/Res 3,A,"If attacking in Aether Raids, grants Spd/Res+X during combat. (Calculates X based on number of foe's defensive structures: ≤2 structures grants +10; 3 grants +7; 4 grants +4; ≥5 grants +1. Destroyed defensive structures are not counted.)",240
Hone Cavalry,C,"At start of turn, grants Atk/Spd+6 to adjacent cavalry allies for 1 turn.",200
D/R Near Save 1,C,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally adjacent to unit, triggers【Savior】on unit.If unit triggers Savior, grants Def/Res+1 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",100
D/R Near Save 2,C,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Def/Res+2 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",200
D/R Near Save 3,C,"If a foe uses sword, lance, axe, dragonstone, or beast damage and initiates combat against an ally within 2 spaces of unit, triggers【Savior】on unit.If unit triggers Savior, grants Def/Res+4 during combat.【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300
Atk/Def Catch 4,A,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Def+7 to unit during combat. At start of combat, if foe's HP = 100% and【Penalty】is active on foe, grants an additional Atk/Def+2 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
Atk Smoke 4,C,"After combat, inflicts Atk-7 on target and foes within 2 spaces of target through their next actions, grants Def/Res+6 to unit for 1 turn, and unit gains ""foe cannot make a follow-up attack"" for 1 turn.",300
Atk/Res Catch 4,A,"At start of combat, if foe's HP = 100% or if【Penalty】is active on foe, grants Atk/Res+7 to unit during combat. At start of combat, if foe's HP = 100% and【Penalty】is active on foe, grants an additional Atk/Res+2 to unit during combat.【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
A/R Far Trace 1,B,"Enables【Canto (Rem.)】.Inflicts Atk/Res-1 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60
A/R Far Trace 2,B,"Enables【Canto (Rem.)】.Inflicts Atk/Res-2 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120
A/R Far Trace 3,B,"Enables【Canto (Rem.)】.Inflicts Atk/Res-3 on foe during combat.【Canto (Rem.)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn. (If unit used a movement skill that warped them, its remaining movement is 0.)(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240
A/S Near Trace 1,B,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-1 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",60
A/S Near Trace 2,B,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-2 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",120
A/S Near Trace 3,B,"Enables【Canto (Rem. +1)】.Inflicts Atk/Spd-3 on foe during combat.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above+1 (If unit used a movement skill that warps them, the remainder is 0).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",240
Brash Assault 4,B,"At start of combat, if unit's HP ≤ 99% and unit initiates combat or if foe's HP = 100% and unit initiates combat, inflicts Def/Res-4 on foe, reduces damage from foe's first attack by 30%, unit makes a guaranteed follow-up attack, and unit's next attack deals damage = 30% of foe's attack damage prior to reductions (resets at end of combat; only highest value applied; does not stack).",300
Def/Res Ideal 1,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+3 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",60
Def/Res Ideal 2,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+4 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",120
Def/Res Ideal 3,A,"At start of combat, if unit's HP = 100% or if【Bonus】is active on unit, grants Def/Res+5 to unit during combat.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",240
Spd/Def Ruse 4,B,"Inflicts Spd/Def-4 on foe during combat. If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Def-6,【Guard】, 【Discord】, and【Schism】on foes in cardinal directions of unit and target through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Schism】Neutralizes Triangle Attack, Dual Strike, and Pathfinder effects active on unit through unit's next action. Unit is excluded from ally Triangle Attack and Dual Strike effects calculated using numbers of allies. When this status (Schism) is neutralized, Triangle Attack, Dual Strike, and Pathfinder effects are also neutralized.",300
Ostian Counter,A,"Unit can counterattack regardless of foe's range. If foe initiates combat, grants Atk/Def+4 during combat.",350
Ostia's Pulse,C,"At the start of turn 1, grants Special cooldown count-1 to all allies. Granted only if number of those allies' movement types on current team ≤ 2.",300
Ostia's Pulse II,C,"At start of turn, grants Def/Res+6 to unit and allies for one turn, and also, if any unit or ally's Special cooldown count is at its maximum value, grants them Special cooldown count-1. All effects granted only if the number of that unit or ally's movement type on the current team is ≤ 2.",300
Oath of Ostia,A,"Grants HP+5.After unit acts (if Canto triggers, after Canto), or, if defending in Aether Raids, at the start of enemy phase, applies【Divine Vein (Stone)】to unit's space and spaces within 2 spaces of unit for 1 turn.If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts Atk/Def-10 on foe, grants Special cooldown count-2 to unit before foe's first attack, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Divine Vein (Stone)】Applies the following effects on space for unit and allies: Grants Def/Res+6 during combat, reduces damage from foe's Specials by 10 during combat (excluding area-of-effect Specials), and reduces damage from area-of-effect Specials by 50% (excluding Røkkr area-of-effect Specials). (Divine Vein effects do not stack; replaces any existing Divine Vein effect; Divine Vein effects applied simultaneously cancel each other out. Does not count as defensive terrain.)",300
Wily Fighter 1,B,"If unit's HP ≥ 75% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",60
Wily Fighter 2,B,"If unit's HP ≥ 50% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",120
Wily Fighter 3,B,"If unit's HP ≥ 25% and foe initiates combat, neutralizes bonuses (from skills like Fortify, Rally, etc.) on foe during combat and unit makes a guaranteed follow-up attack.",240
Wily Fighter 4,B,"If foe initiates combat or if unit's HP ≥ 25% at start of combat, inflicts Atk-5 on foe, deals +X damage (X = 20% of unit's Def; excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials), unit makes a guaranteed follow-up attack, and neutralizes foe's bonuses during combat.",300
A/D Twin F Save,C,"If foe with Range = 2 initiates combat against an ally within 2 spaces of unit, triggers 【Savior】on unit.If foe's Range = 2, grants Atk/Def+4 to unit during combat, any ""reduces damage by X%"" effect that can be triggered only once per combat by unit's equipped Special skill can be triggered up to twice per combat (excludes boosted Special effects from engaging; only highest value applied; does not stack), and restores 7 HP to unit when unit deals damage to foe during combat (triggers even if 0 damage is dealt).【Savior】Unit takes ally's space, enters combat in ally's place, and receives all after-combat effects.Savior will not trigger if ally is on terrain that unit cannot move to or if multiple units are able to use Savior during the same combat. If Savior triggers, after-combat movement effects do not occur.",300
D Counter Echo,X,Unit can counterattack regardless of foe's range.,—
Ostia's Heart,A,"Unit can counterattack regardless of foe's range. If foe initiates combat or foe's HP ≥ 75% at start of combat, inflicts Atk/Def-8 on foe during combat, and also, when unit deals damage to foe during combat, restores 7 HP to unit (triggers even if 0 damage is dealt).",300
Mag. Null Follow,B,"Inflicts Spd/Res-4 on foe, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (example: a foe with a ""reduce damage by 45%"" skill would reduce damage by 23% instead).",300
Stronghold,A,"Inflicts Atk-3. Grants Def/Res+7.At start of player phase or enemy phase, neutralizes【Panic】and any penalties to unit's Def/Res that take effect on unit at this time.【Panic】Converts bonuses on target into penalties through its next action.",300
Divine Nectar,C,"At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants 【Divine Nectar】to unit and allies within 2 spaces of unit for 1 turn.If a Rally or movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by an ally with the【Divine Nectar】effect active (excluding unit), grants another action to that ally (once per turn; if another effect that grants action to unit has been activated at the same time, this effect is also considered to have been triggered).If unit is within 3 spaces of an ally, inflicts Atk/Def-5 on foe and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack).【Divine Nectar】Neutralizes【Deep Wounds】during combat.Restores 20 HP to unit as unit's combat begins (triggers after effects that deal damage as combat begins; only highest value applied; does not stack). If it is unit's first combat initiated by foe or first combat initiated by unit that turn, reduces damage from foe's attacks by 10 during combat (excluding area-of-effect Specials).【Deep Wounds】Unit's HP cannot be healed through its next action.",300
Crystalline Water,A,"Grants Atk/Res+8. Inflicts Def-8.At start of player phase or enemy phase, neutralizes【Panic】and any penalties to unit's Atk/Res that take effect on unit at this time.【Panic】Converts bonuses on target into penalties through its next action.",300
Nectar's Magic,C,"At start of player phase or enemy phase, if unit is within 2 spaces of an ally, grants 【Divine Nectar】to unit and allies within 2 spaces of unit for 1 turn.If a Rally or movement Assist skill (like Reposition, Shove, Pivot, etc.) is used by an ally with the【Divine Nectar】effect active (excluding unit), grants another action to that ally (once per turn; if another effect that grants action to ally has been activated at the same time, this effect is also considered to have been triggered).If unit initiates combat and unit has an area-of-effect Special equipped, grants Special cooldown count-1 to unit before Special triggers before combat.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Def/Res+5 to unit during combat, and also, if unit's attack can trigger unit's Special (excluding area-of-effect Specials), grants Special cooldown count-1 to unit before unit's first attack during combat.【Divine Nectar】Neutralizes【Deep Wounds】during combat.Restores 20 HP to unit as unit's combat begins (triggers after effects that deal damage as combat begins; only highest value applied; does not stack). If it is unit's first combat initiated by foe or first combat initiated by unit that turn, reduces damage from foe's attacks by 10 during combat (excluding area-of-effect Specials).【Deep Wounds】Unit's HP cannot be healed through its next action.",300
Live for Honor,B,"If unit survives, get 1.5x badges from a Training Tower map.(Only highest value applied. Does not stack.)",100
Velocity 1,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 2 (max 20%). Neutralizes effects that inflict ""Special cooldown charge -X"" on unit.",60
Velocity 2,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 3 (max 30%). Neutralizes effects that inflict ""Special cooldown charge -X"" on unit.",120
Velocity 3,B,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding Røkkr area-of-effect Specials) by percentage = difference between stats × 4 (max 40%). Neutralizes effects that inflict ""Special cooldown charge -X"" on unit.",240
Even Follow-Up 1,B,"If it is an even-numbered turn and unit's HP = 100%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",60
Even Follow-Up 2,B,"If it is an even-numbered turn and unit's HP ≥ 50%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",120
Even Follow-Up 3,B,"If it is an even-numbered turn, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",240
Wings of Mercy 4,B,"Inflicts Def/Res-3 on foe during combat. If unit is within 3 spaces of an ally and that ally's HP ≤ 99%, unit can move to a space adjacent to that ally. If an ally's HP ≤ 60%, unit can move to a space within 2 spaces of that ally.",300
Rallying Cry,C,"At start of turn, if unit is within 2 spaces of an ally, grants ""Special cooldown charge +1 per attack during combat (only highest value applied; does not stack)"" to unit and allies within 2 spaces of unit for 1 turn and grants【Charge】 to unit and flying allies within 2 spaces of unit for 1 turn. Inflicts Spd/Def/Res-5 on infantry, armored, and cavalry foes within 3 rows or 3 columns centered on unit during combat.【Charge】Unit can move up to 3 spaces in any cardinal direction. (Cannot move through foes, terrain that blocks movement, or effects of skills like Obstruct. Granted movement treated as Warp movement.)",300
Glittering Anima,C,"At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6,【Canto (１)】, and the following status to unit and allies within 3 spaces of unit for 1 turn: ""neutralizes penalties on unit during combat."" At start of turn, if unit's HP ≥ 25%, inflicts Spd/Res-6,【Panic】, and【Discord】on closest foes and any foe within 3 spaces of those foes through their next actions. If unit is within 3 spaces of an ally, grants Atk/Spd+5 to unit and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Panic】Converts bonuses on target into penalties through its next action.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300
Twinkling Anima,C,"At start of turn, if unit's HP ≥ 25%, grants Atk/Spd+6,【Canto (１)】, and the following status to unit and allies within 3 spaces of unit for 1 turn: ""neutralizes penalties on unit during combat.""At start of turn, if unit's HP ≥ 25%, inflicts Spd/Res-7,【Panic】, and【Discord】on closest foes and any foe within 3 spaces of those foes through their next actions.If unit is within 3 spaces of an ally, grants Atk/Spd+5 to unit, neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Canto (１)】After an attack, Assist skill, or structure destruction, unit can move １ space(s).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Panic】Converts bonuses on target into penalties through its next action.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.",300
Atk/Spd Fortune,A,"If unit can transform, transformation effects gain ""if unit is within 2 spaces of a beast or dragon ally, or if number of adjacent allies other than beast or dragon allies ≤ 2"" as a trigger condition (in addition to existing conditions).If defending in Aether Raids, at the start of enemy turn 1, if conditions for transforming are met, unit transforms.If unit is transformed or if foe initiates combat, grants Atk/Spd+8 to unit and neutralizes foe's bonuses to Spd/Def during combat, and restores 7 HP to unit after combat.",300
Divine Talon,C,"At start of turn, neutralizes any【Penalty】 effects on unit and allies within 2 spaces of unit (excluding penalties inflicted at the start of the same turn), and deals 1 damage to unit and allies within 2 spaces of unit.At start of turn, grants ""unit can move 1 extra space"" to dragon, beast, infantry, and armored allies within 2 spaces of unit (that turn only; does not stack).If unit is transformed or if foe's HP ≥ 75% at start of combat, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and reduces damage from foe's attacks by X during combat (X = number of spaces from start position to end position of whoever initiated combat × 4; max 12), and also, when foe's attack triggers foe's Special, reduces damage by X (excluding area-of-effect Specials).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
Bestial Assault,B,"Enables【Canto (Rem. +1; Min ２)】while transformed.If unit is transformed or unit's HP ≥ 25% at start of combat, inflicts Spd/Def-4 on foe, deals damage = 20% of the greater of unit's Spd or Def (excluding area-of-effect Specials), and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat (excluding area-of-effect Specials).【Canto (Rem. +1; Min ２)】After an attack, Assist skill, or structure destruction, unit can move spaces = any movement not already used that turn +1 (min ２; if unit used a movement skill that warped them, unit can move ２ space(s)).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)",300
Freezing Seal,B,"At start of turn, if unit's HP ≥ 50%, inflicts Atk/Spd-6 on foe on the enemy team with the lowest Res through its next action.",300
Freezing Seal II,B,"At start of turn, inflicts Atk/Def-7 and 【Guard】 on foes on the enemy team with the lowest Res and any foe within 2 spaces of those foes through their next actions.【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)",300
