Name,Might,Range,Description,SP
Blade of Jehanna,14,2,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, inflicts Spd/Def-6 on foe and neutralizes foe's bonuses to Spd/Def during combat, and also, if foe in combat is in a cardinal direction of unit, foe cannot counterattack, but otherwise, unit deals damage = 15% of foe's Atk.Effect: 【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Coral Bow,8,2,Effective against flying foes. Inflicts Spd/Def-5 on foes within 2 spaces during combat.,200
Coral Bow+,12,2,Effective against flying foes. Inflicts Spd/Def-5 on foes within 2 spaces during combat.,300
Loving Bouquets,14,2,"Effective against dragon foes. Accelerates Special trigger (cooldown count-1).For allies within 3 rows or 3 columns centered on unit, grants Atk/Res+5, neutralizes foe's bonuses, and grants Special cooldown count-1 before ally's first attack during combat.At start of combat, if unit's HP ≥ 25%, inflicts penalty on foe's Atk/Res = 20% of unit's Res at start of combat + 6, neutralizes foe's bonuses, unit deals +X damage (excluding area-of-effect Specials), reduces damage from foe's attacks by X (excluding area-of-effect Specials; X = number of allies within 3 rows or 3 columns centered on unit × 5; max 15), neutralizes effects that inflict ""Special cooldown charge -X"" on unit, and grants Special cooldown count-1 to unit before unit's first attack during combat, and also, if unit's Res ≥ foe's Res+10, unit attacks twice during combat.",400
Virtuous Naga,14,2,"Effective against dragon foes. Grants Atk+3. At start of combat, if unit's Atk > foe's Atk, grants Atk/Res+6 during combat.",400
Naga,14,2,"Effective against dragon foes. If foe initiates combat, grants Def/Res+2 during combat.",400
Luminous Grace,8,2,"At start of turn, restores 10 HP. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat.",200
Luminous Grace+,12,2,"At start of turn, restores 10 HP. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit during combat.",300
Caltrop Dagger,8,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Caltrop Dagger+,12,2,"Effective against cavalry foes. Disables unit's and foe's skills that change attack priority.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Thief's Honesty,14,2,"Effective against cavalry foes.At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit, deals damage = 20% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 30% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and disables unit's and foe's skills that change attack priority during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Loptous,14,2,"Grants Res+3. Skills with ""effective against dragons"" are effective against unit.If foe has no skills with ""effective against dragons,"" inflicts Atk-6 on foe during combat.",400
Blade of Sands,16,1,"Accelerates Special trigger (cooldown count-1). At start of turn, if unit is within 2 spaces of an ally, grants Spd/Res+6,【Bonus Doubler】, and【Null Panic】to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks, and deals damage = 20% of unit's Spd during combat (excluding area-of-effect Specials).【Bonus Doubler】Grants bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats for 1 turn. Calculates each stat bonus independently.【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400
Love Bouquet,8,2,"Grants Atk/Res+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Res+4 to unit during combat.",200
Love Bouquet+,12,2,"Grants Atk/Res+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Res+4 to unit during combat.",300
Kitsune Fang,14,1,"Grants Def+3. Grants allies within 2 spaces bonus to Atk/Spd/Def/Res during combat = current bonus on each of unit's stats. Calculates each stat bonus independently. At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Refreshed Fang,14,1,"Grants Spd+3. At start of combat, if foe's HP ≥ 75%, grants Spd+5 to unit, inflicts Spd-5 on foe during combat, and then, if unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, and also, if unit initiates combat, inflicts Atk/Def-4 on foe during combat and foe cannot make a follow-up attack.",400
Bottled Juice,8,2,"Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
Bottled Juice+,12,2,"Inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Brightwind Fans,14,2,"Enables【Canto (Dist.; Max ３)】.Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit, grants Atk/Spd+X to unit (X = 20% of unit's Spd at start of combat), and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat, and also, if unit initiates combat, reduces damage from foe's first attack by 50% during combat, and unit's next attack deals damage = total damage reduced (by any source, including other skills; resets at end of combat).Effect:【Dagger ７】【Canto (Dist.; Max ３)】After an attack, Assist skill, or structure destruction, unit can move spaces = number of spaces from start position to end position unit moved prior to taking action (max ３).(Unit moves according to movement type. Once per turn. Cannot attack or assist. Only highest value applied. Does not stack. After moving, if a skill that grants another action would be triggered (like with Galeforce), Canto will trigger after the granted action. Unit's base movement has no effect on movement granted. Cannot warp (using skills like Wings of Mercy) a distance greater than unit would be able to move with normal Canto movement.)【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Poison Dagger,2,2,"Effective against infantry foes.After combat, if unit attacked, inflicts Def/Res-4 on infantry foe through its next action.",200
Poison Dagger+,5,2,"Effective against infantry foes.After combat, if unit attacked, inflicts Def/Res-6 on infantry foe through its next action.",300
Kagero's Dart,14,2,"At start of combat, if unit's Atk > foe's Atk, grants Atk/Spd+4 during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Lethal Carrot,8,2,"Deals +10 damage when Special triggers.After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
Lethal Carrot+,12,2,"Deals +10 damage when Special triggers.After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Reversal Blade,10,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat and inflicts penalty on foe's Atk/Spd/Def/Res during combat = current bonus on each of foe's stats × 2 (calculates each stat penalty independently; example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7).",200
Reversal Blade+,14,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+4 to unit during combat and inflicts penalty on foe's Atk/Spd/Def/Res during combat = current bonus on each of foe's stats × 2 (calculates each stat penalty independently; example: if foe has +7 bonus to Atk, inflicts Atk-14, for a net penalty of Atk-7).",300
Up-Front Blade,10,1,"At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit and neutralizes unit's penalties to Atk/Spd during combat.",200
Up-Front Blade+,14,1,"At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 to unit and neutralizes unit's penalties to Atk/Spd during combat.",300
Sun Dragonstone,16,1,"If foe initiates combat or if a bonus granted by a skill like Rally or Hone is not active on foe, grants Atk/Spd/Def/Res+4 to unit during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Dragon's Stone,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 20% of unit's Spd during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",200
Dragon's Stone+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit and reduces damage from foe's first attack by 20% of unit's Spd during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and also, if unit's Spd > foe's Spd, neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat. If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300
New-Sun Stone,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit, reduces damage from foe's first attack by 15% of unit's Atk (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",200
New-Sun Stone+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 to unit, reduces damage from foe's first attack by 15% of unit's Atk (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and inflicts Special cooldown charge -1 on foe per attack during combat (only highest value applied; does not stack). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300
Allied Lance,10,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",200
Allied Lance+,14,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",300
Sisterly War Axe,16,1,"Accelerates Special trigger (cooldown count-1). At start of odd-numbered turns, grants Special cooldown count-2. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd+6 to unit during combat and deals damage = X% of unit's Spd when Special triggers (X = unit's max Special cooldown count value × 10, + 20). If unit initiates combat or is within 2 spaces of an ally, and if unit's Special triggers (excluding area-of-effect Specials), disables non-Special effects that ""reduce damage by X%"" and prevents foe's Specials that are triggered by unit's attack.",400
Dryblade Lance,16,1,"Accelerates Special trigger (cooldown count-1). At the start of turn 1, grants Special cooldown count-2 to unit. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit during combat and deals damage = X% of unit's Spd when Special triggers (X = unit's max Special cooldown count value × 10, + 20).",400
Vassal's Blade,16,1,"Accelerates Special trigger (cooldown count-1). If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)",400
Fell Flambeau,14,2,"Accelerates Special trigger (cooldown count-1). If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Spd/Def/Res during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",400
Reese's Tome,14,2,"During combat, boosts unit's Atk/Spd/Def/Res by number of adjacent allies × 2.",400
Barb Shuriken,8,2,"Accelerates Special trigger (cooldown count-1).After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
Barb Shuriken+,12,2,"Accelerates Special trigger (cooldown count-1). After combat, if unit attacked, inflicts Def/Res-7 on target and foes within 2 spaces of target through their next actions.",300
Kaze's Needle,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Res+4 to unit during combat.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",400
Wolfskin Fang,9,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400
Resolved Fang,14,1,"Grants Def+3. At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit, inflicts Def-5 on foe during combat, and then, if unit's Def > foe's Def, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage.)At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2 and deals +10 damage when Special triggers.",400
Farmer's Tool,10,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",200
Farmer's Tool+,14,1,"At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit and allies within 2 spaces of unit for 1 turn. If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+X to unit during combat (X = 4 + highest bonus on each stat between unit and allies within 2 spaces of unit; calculates each stat bonus independently).",300
Venin Edge,16,1,"Grants Def+3. After combat, if unit attacked, deals 10 damage to target and foes within 2 spaces of target, and inflicts status on those foes preventing counterattacks through their next actions.",400
Allied Sword,10,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",200
Allied Sword+,14,1,"Grants Atk/Def+4 to allies within 2 spaces during combat. If unit is within 2 spaces of an ally, grants Atk/Def+4 to unit during combat.",300
Unbound Bow,8,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts Spd/Def-5 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat.",200
Unbound Bow+,12,2,"Effective against flying foes. If unit is not adjacent to an ally, inflicts Spd/Def-5 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat.",300
Mirage Rod,14,2,Grants Atk+3. Inflicts Atk/Res-6 on foes within 2 spaces during combat.,400
Heartbeat Lance,16,1,"At start of combat, if unit's HP ≥ 25%, inflicts Atk/Def-5 on foe during combat and foe cannot make a follow-up attack.",400
Sagittae,14,2,"Grants Def+3.At start of combat, if foe's Atk ≥ unit's Atk+5, grants Atk/Spd/Def/Res+5 during combat.",400
Plegian Axe,10,1,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Def during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",200
Plegian Axe+,14,1,"If unit is not adjacent to an ally, inflicts penalty on foe's Atk/Def during combat = 5 + any current penalty on each of those stats. (Example: if foe has -7 penalty to Atk, inflicts Atk-12, for a net penalty of Atk-19 during combat.) Calculates each stat penalty independently.",300
Spear of Shadow,16,1,"Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP = 100% at start of combat, neutralizes penalties on unit and inflicts Atk/Spd/Def-5 on foe during combat.",400
Lantern Breath,10,1,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",200
Lantern Breath+,14,1,"If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk+5 to unit, inflicts Atk-5 on foe, and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.) If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",300
Faded Paper Fan,14,2,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, reduces foe's Spd/Res during combat by 20% of unit's Spd at start of combat, and reduces the percentage of foe's non-Special ""reduce damage by X%"" skills by 50% during combat, and also, if it is unit's first combat initiated by unit or first combat initiated by foe that turn, reduces damage from foe's first attack by 70% during combat (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). If unit initiates combat or unit is within 2 spaces of an ally, after combat, if unit attacked, inflicts status on target and foes within 2 spaces of target preventing counterattacks through their next actions.",400
Pursual Lance,10,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and unit makes a guaranteed follow-up attack.",200
Pursual Lance+,14,1,"If unit initiates combat or is within 2 spaces of an ally, grants Atk/Def+5 to unit during combat and unit makes a guaranteed follow-up attack.",300
Polished Fang,14,1,"Grants Def+3. At start of combat, if foe's HP ≥ 75%, grants Atk/Def+6 to unit during combat, and also, if unit's Def > foe's Def, grants Special cooldown charge +1 per foe's attack (only highest value applied; does not stack) and deals +5 damage per unit's attack, including when dealing damage with a Special triggered before combat.At start of turn, if unit is adjacent to only beast or dragon allies or if unit is not adjacent to any ally, unit transforms (otherwise, unit reverts). If unit transforms, grants Atk+2, deals +7 damage when Special triggers, and neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit during combat.",400
Madness Flask,8,2,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",200
Madness Flask+,12,2,"Grants Atk/Spd/Def/Res+3. After combat, deals 6 damage to unit.",300
Ivaldi,14,2,"Grants Def+3. At start of combat, if foe's HP = 100%, grants Atk/Spd+3 during combat.",400
Staff of Rausten,14,2,"Calculates damage from staff like other weapons. At start of turn, inflicts Res-6 and status preventing counterattacks on closest foes within 5 spaces of unit through their next actions. If unit initiates combat, grants Atk/Spd+6 during combat.",400
Seaside Parasol,8,2,"At start of turn, inflicts【Guard】on nearest foes within 5 spaces of unit and foes within 2 spaces of those foes equipped with a skill that can trigger the Savior effect. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit and inflicts Res-X on foe during combat (X = number of【Bonus】and【Penalty】 effects active on foe × 4; max 16; excludes stat bonuses and stat penalties).【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",200
Seaside Parasol+,12,2,"At start of turn, inflicts【Guard】on nearest foes within 5 spaces of unit and foes within 2 spaces of those foes equipped with a skill that can trigger the Savior effect. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 to unit and inflicts Res-X on foe during combat (X = number of【Bonus】and【Penalty】 effects active on foe × 4; max 16; excludes stat bonuses and stat penalties).【Guard】Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).【Penalty】All effects that last ""on foe through its next action."" Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard).",300
Courtly Mask,8,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Courtly Mask+,12,2,"At start of combat, if unit's HP ≥ 50%, grants Atk/Res+5 during combat, and also, if foe can make a follow-up attack, reduces damage from foe's first attack by 50%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Absorb,4,2,Restores HP = 50% of damage dealt.,150
Absorb+,7,2,"Restores HP = 50% of damage dealt.After combat, if unit attacked, restores 7 HP to allies within 2 spaces of unit.",300
Worldsea Wave,14,2,"Grants Spd+3. If unit's HP ≥ 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.",400
Flamefrost Bow,8,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. Grants Def/Res+5 and inflicts Spd-8 on unit. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) Grants bonus to unit's Atk/Def/Res during combat = 70% of the highest value between the total bonuses of target and the total bonuses of an ally within 2 spaces of unit.",400
Flame of Múspell,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. If【Bonus】is active on unit, grants Atk/Spd+6 and Atk/Spd/Def/Res during combat = 50% of total bonuses on unit and foe (max: +12), and also, if total bonuses on unit and foe ≥ 10, neutralizes effects that prevent unit's follow-up attacks.【Bonus】All effects that last ""for 1 turn"" or ""that turn only."" Includes bonuses granted by a skill like Rally or Hone and positive status effects (extra movement or effects like Dominance).",400
Wagasa,10,1,"At start of turn, inflicts Def-7 on foe on the enemy team with the highest Def through its next action.",200
Wagasa+,14,1,"At start of turn, inflicts Def-7 on foe on the enemy team with the highest Def through its next action.",300
Níu,16,1,Grants Spd+3. Adds 50% of total bonuses on foe to unit's Atk/Spd/Def/Res during combat.,400
Buoyboard,8,2,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Res+4 during combat.",200
Buoyboard+,12,2,"If a bonus granted by a skill like Rally or Hone is active on unit, grants Atk/Res+4 during combat.",300
Kumade,8,2,"At start of turn, inflicts Atk/Spd-3 on foe on the enemy team with the highest Def through its next action.",200
Kumade+,12,2,"At start of turn, inflicts Atk/Spd-5 on foe on the enemy team with the highest Def through its next action.",300
Twin Star Axe,11,1,"Inflicts Spd-5. Unit attacks twice.(Even if foe initiates combat, unit attacks twice.)  Grants bonus to unit's Atk = half of total bonuses on unit during combat.",400
Laevatein,16,1,Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat.,400
Bouquet Baton,8,2,"For allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+5 and neutralizes penalties on ally during combat.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes penalties on unit, and unit deals +X damage during combat (max 15; excluding area-of-effect Specials; X = number of allies within 3 rows or 3 columns centered on unit × 5; calculates damage from staff after combat damage is added).",200
Bouquet Baton+,12,2,"For allies within 3 rows or 3 columns centered on unit, grants Atk/Spd+5 and neutralizes penalties on ally during combat.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, neutralizes penalties on unit, and unit deals +X damage during combat (max 15; excluding area-of-effect Specials; X = number of allies within 3 rows or 3 columns centered on unit × 5; calculates damage from staff after combat damage is added).",300
Wildflower Edge,16,1,"Enables【Canto (Rem. +1)】.Accelerates Special trigger (cooldown count-1).If unit has entered combat during the current turn, allies within 5 spaces of unit can move to a space within 2 spaces of unit.If unit initiates combat or is within 2 spaces of an ally, grants Atk/Spd/Def/Res+5 to unit, grants bonus to unit's Atk/Spd/Def/Res = 15% of unit's Spd at start of combat, deals damage = 20% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by X% during combat (if it is unit's first combat initiated by unit or first combat initiated by foe that turn, X = 80; otherwise, X = 40; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).If unit initiates combat, deals 10 damage to target and foes within 2 spaces of target after combat, and inflicts【Share Spoils】on target through its next action.【Canto (Rem. +1)】After an attack, Assist skill, or structure destruction, unit can move again.The distance of the movement is the remaining movement the unit had before the actions listed above + 1 (If unit used a movement skill that warps them, the remainder is 0). (Once per turn. Only highest value applied. Does not stack.)【Share Spoils】Inflicts Atk/Spd/Def/Res-5 on unit during combat and neutralizes ""reduces damage by X%"" effects from unit's non-Special skills (excluding area-of-effect Specials). If foe initiates combat and if unit is defeated in combat, grants another action to that foe after combat (this effect has priority over other similar effects, including Time Is Light; in such cases, these other similar effects are treated as not having triggered).",400
Defier's Sword,10,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",200
Defier's Sword+,14,1,"At start of combat, if foe's HP ≥ 75%, grants Def+5 to unit and inflicts Def-5 on foe during combat, and also, if foe has bonuses, grants bonus to unit's Def and inflicts penalty on foe's Def during combat = current bonus on foe's Def. Calculates each stat bonus and penalty independently.",300
Clever Dagger,8,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ５】【Dagger ５】After combat, if unit attacked, inflicts Def/Res-５ on target and foes within 2 spaces of target through their next actions.",200
Clever Dagger+,12,2,"At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+5 during combat and reduces damage from foe's first attack during combat by 30%.Effect:【Dagger ７】【Dagger ７】After combat, if unit attacked, inflicts Def/Res-７ on target and foes within 2 spaces of target through their next actions.",300
Brilliant Brident,16,1,"Accelerates Special trigger (cooldown count-1).At start of turn, if unit's HP ≥ 25%, inflicts Spd/Def-7,【Exposure】, and【Discord】on closest foes and any foes within 2 spaces of those foes through their next actions.At start of combat, if unit's HP ≥ 25%, grants bonus to unit's Atk/Spd/Def/Res = number of foes within 3 rows or 3 columns centered on unit × 3, + 5 (max 14), deals damage = 20% of unit's Spd (excluding area-of-effect Specials), reduces damage from foe's first attack by 20% of unit's Spd (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes), and reduces damage from foe's Specials by 20% of unit's Spd during combat (excluding area-of-effect Specials), and also, if 【Potent Follow X%】has triggered and X ≤ 99, then X = 100.【Exposure】Foe's attacks deal +10 damage.【Discord】Inflicts Atk/Spd/Def/Res-X on unit during combat (X = 2 + number of allies within 2 spaces of unit; max 5) through its next action.【Potent Follow X%】Triggers an additional follow-up attack immediately after unit's standard follow-up attack and deals damage = X% of unit's normal attack damage (if unit cannot make a follow-up attack, this effect triggers when the standard follow-up attack would occur; this effect is treated like a follow-up attack, so effects like ""reduce damage by X%"" still apply, but this effect is not affected by effects that prevent follow-ups or ""attacks twice"" effects; only highest value applied; does not stack).",400
Larcei's Edge,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's Spd > foe's Spd or if foe's HP = 100%, grants Atk/Spd/Def/Res+4 to unit and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",400
Whirling Grace,16,1,"Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat, and also, if unit's Spd > foe's Spd during combat, neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",400
Bridal Sunflower,10,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 and bonus to Atk/Def during combat = current bonus on unit's Atk/Def. Calculates each stat bonus independently.",200
Bridal Sunflower+,14,1,"At start of combat, if unit's HP ≥ 25%, grants Atk/Def+5 and bonus to Atk/Def during combat = current bonus on unit's Atk/Def. Calculates each stat bonus independently.",300
Dragonslasher,8,2,"Effective against dragon foes. Disables unit's and foe's skills that change attack priority. After combat, if unit attacked, inflicts Def/Res-5 on target and foes within 2 spaces of target through their next actions.",200
